City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sawākin,19.11,37.33,97.86,30,0,10.96,SD,1600439101
Cap Malheureux,-19.98,57.61,73.0,63,90,7.0,MU,1600439101
Don Luan,11.53,106.92,75.27,96,100,7.52,VN,1600439101
São João da Barra,-21.64,-41.05,84.2,66,0,8.3,BR,1600438952
Kaa-Khem,51.68,94.73,63.61,38,100,4.68,RU,1600439101
Riyadh,24.69,46.72,104.0,10,0,10.29,SA,1600438870
Voh,-20.97,164.7,67.73,87,2,5.23,NC,1600439102
Jizan,17.33,42.67,95.0,71,40,14.99,SA,1600439102
Katsuura,35.13,140.3,84.0,86,0,5.99,JP,1600439102
Zhengjiatun,43.51,123.51,55.38,83,94,8.57,CN,1600439102
Saurimo,-9.66,20.39,84.2,51,75,5.55,AO,1600439102
Broken Hill,-31.95,141.43,73.4,25,75,10.29,AU,1600439103
Pochutla,15.74,-96.47,75.2,73,90,5.82,MX,1600439103
Pisco,-13.7,-76.22,60.8,87,90,4.7,PE,1600439080
Clones,54.18,-7.23,60.01,73,100,7.0,IE,1600439103
Port Macquarie,-31.43,152.92,60.01,93,100,3.44,AU,1600438914
Evensk,61.95,159.23,38.52,72,4,7.23,RU,1600439103
Puerto Madryn,-42.77,-65.04,53.22,39,0,29.57,AR,1600439103
Örnsköldsvik,63.29,18.72,59.0,54,11,26.4,SE,1600439104
Marawi,8.0,124.29,77.0,90,13,1.01,PH,1600439104
Pleasanton,37.66,-121.87,63.0,82,1,4.7,US,1600438864
Neiafu,-18.65,-173.98,77.0,88,75,5.82,TO,1600439104
Natal,-5.79,-35.21,84.2,58,75,18.34,BR,1600438904
Yining,29.04,114.56,61.86,90,64,1.45,CN,1600439104
Santiago del Estero,-27.8,-64.26,81.28,23,0,11.07,AR,1600439012
Dărăşti-Ilfov,44.31,26.02,75.0,38,45,11.41,RO,1600439104
Vestmanna,62.16,-7.17,51.8,81,0,10.29,FO,1600439105
Gaza,31.5,34.47,89.6,55,0,11.41,PS,1600439068
Cariré,-3.95,-40.47,95.54,30,0,6.55,BR,1600439105
São Gabriel da Cachoeira,-0.13,-67.09,84.2,79,94,3.36,BR,1600439105
Bograd,54.23,90.83,51.8,93,40,4.47,RU,1600439105
Porto-Novo,6.5,2.6,84.2,70,40,13.87,BJ,1600439105
Egvekinot,66.32,-179.17,31.73,94,49,6.71,RU,1600439105
Star Dojran,41.19,22.72,84.99,49,100,1.01,MK,1600439106
Fairfield,41.27,-73.32,66.0,67,90,12.75,US,1600438914
Nueve de Julio,-35.44,-60.88,64.0,31,0,4.0,AR,1600438898
Nacala,-14.54,40.67,84.2,48,40,9.17,MZ,1600439106
Katangli,51.71,143.23,55.99,98,100,2.86,RU,1600439106
Green River,41.53,-109.47,46.4,42,1,4.7,US,1600439106
Orós,-6.24,-38.91,98.37,23,0,5.01,BR,1600439106
Whitehorse,60.72,-135.05,51.8,64,90,13.87,CA,1600438992
Corinth,37.94,22.96,82.0,47,85,5.01,GR,1600438941
Lakes Entrance,-37.88,147.98,53.01,94,100,2.28,AU,1600439107
Līsakovsk,52.54,62.49,55.08,57,31,8.12,KZ,1600439067
Rangāpāra,26.82,92.65,81.09,81,100,1.88,IN,1600439107
Sopela,43.38,-2.98,84.2,42,20,12.75,ES,1600439107
Dargaville,-35.93,173.88,51.42,69,81,10.0,NZ,1600439107
Dukat,62.55,155.55,29.79,96,79,3.15,RU,1600439107
Port Lincoln,-34.73,135.87,61.39,83,97,3.85,AU,1600438932
Taos,36.41,-105.57,44.6,42,1,3.36,US,1600439108
Noumea,-22.28,166.46,69.8,94,90,14.5,NC,1600439108
Guatire,10.48,-66.54,81.0,44,24,1.25,VE,1600439108
Freeport,40.66,-73.58,66.99,72,90,19.46,US,1600438855
San Cristobal,7.77,-72.22,84.2,66,40,2.24,VE,1600439108
Beyneu,45.32,55.2,68.45,23,99,9.28,KZ,1600439108
Tanabe,33.73,135.37,73.99,92,100,7.29,JP,1600439109
Antsohihy,-14.88,47.99,85.89,41,54,1.97,MG,1600439109
Catuday,16.29,119.81,80.26,79,99,4.18,PH,1600439109
Okhotsk,59.38,143.3,47.62,64,0,6.26,RU,1600439109
Weihe,33.0,105.32,57.76,89,97,4.38,CN,1600439109
Mackay,-21.15,149.2,71.6,78,40,17.22,AU,1600439109
Kitimat,54.05,-128.65,46.99,94,3,1.25,CA,1600439110
Alofi,-19.06,-169.92,73.4,100,41,10.29,NU,1600439110
Zhangzhou,24.51,117.66,82.4,78,40,15.66,CN,1600439110
Goma,-1.68,29.22,81.12,40,60,3.06,CD,1600439110
Madimba,-10.4,40.33,82.4,54,20,11.41,TZ,1600439111
Pimentel,-6.84,-79.93,62.6,77,90,8.05,PE,1600439111
Havelock,34.88,-76.9,78.01,94,90,9.17,US,1600439111
San Ignacio,17.16,-89.07,84.0,94,20,2.84,BZ,1600439111
Nanortalik,60.14,-45.24,39.11,87,100,20.22,GL,1600439111
Vardø,70.37,31.11,42.8,93,75,23.04,NO,1600439112
Katy,29.79,-95.82,81.0,70,100,10.27,US,1600438862
Egersund,58.45,6.0,57.99,86,0,8.81,NO,1600439112
Waingapu,-9.66,120.26,75.61,84,0,5.46,ID,1600439112
Yenagoa,4.92,6.26,82.62,79,94,7.11,NG,1600439113
Batemans Bay,-35.72,150.18,57.99,96,97,3.06,AU,1600439113
Tura,25.52,90.22,76.86,92,100,2.33,IN,1600439113
Shimoda,34.67,138.95,75.0,88,91,1.01,JP,1600439113
Mizdah,31.45,12.98,92.59,17,0,14.72,LY,1600439113
Korla,41.76,86.15,75.2,21,100,16.51,CN,1600439114
Nabire,-3.37,135.48,76.51,87,100,2.86,ID,1600439114
Borogontsy,62.67,131.17,41.22,74,0,2.84,RU,1600439114
Jieshou,33.26,115.36,68.05,54,77,7.2,CN,1600439114
Chhabra,24.67,76.83,87.3,58,88,1.19,IN,1600439115
Praia,14.92,-23.51,86.0,79,40,12.75,CV,1600439089
Mokobeng,-23.0,27.67,89.71,23,0,11.3,BW,1600439115
Belaya Gora,68.53,146.42,46.9,93,100,9.15,RU,1600439115
Mehamn,71.04,27.85,42.8,87,75,6.93,NO,1600439115
Peniche,39.36,-9.38,71.01,83,100,20.0,PT,1600439115
Orbetello,42.44,11.22,87.8,35,20,6.93,IT,1600439116
Sfântu Gheorghe,45.87,25.78,60.01,68,78,8.9,RO,1600439116
Krasnosel'kup,65.7,82.47,47.66,84,100,11.77,RU,1600439116
Caravelas,-17.71,-39.25,81.79,56,28,9.82,BR,1600439116
Nuevo Progreso,23.17,-97.95,78.01,61,3,5.99,MX,1600439117
Wagar,16.15,36.2,103.75,17,0,6.15,SD,1600439117
Esim,4.87,-2.24,78.94,75,40,9.66,GH,1600439117
Sambava,-14.27,50.17,73.27,82,74,12.3,MG,1600439117
Rocha,-34.48,-54.33,63.84,51,49,11.05,UY,1600438920
Sidi Ali,36.1,0.42,87.19,40,100,1.68,DZ,1600439117
Nara,34.69,135.8,75.0,41,100,3.74,JP,1600438861
Takoradze,4.88,-1.76,79.21,76,33,9.37,GH,1600439118
Kalabo,-14.97,22.68,98.19,12,19,7.18,ZM,1600439118
Shubarkuduk,49.14,56.49,61.61,35,100,5.44,KZ,1600439118
Ous,60.91,61.52,41.74,88,100,5.99,RU,1600439118
Nizhniy Baskunchak,48.22,46.83,73.62,43,97,19.04,RU,1600439118
Raudeberg,61.99,5.14,55.0,95,85,9.66,NO,1600439119
Hastings,50.86,0.57,71.01,46,0,8.99,GB,1600439119
Tombouctou,20.0,-3.0,93.63,37,2,20.98,ML,1600439119
Charter Township of Clinton,42.59,-82.92,57.0,66,20,12.75,US,1600439060
Żurrieq,35.83,14.47,82.4,58,0,19.46,MT,1600439120
Ahipara,-35.17,173.17,51.85,70,84,9.44,NZ,1600439120
Manyana,-23.4,21.72,92.57,8,0,6.15,BW,1600439120
Mamontovo,52.71,81.62,52.68,67,90,11.48,RU,1600439120
Kalmunai,7.42,81.82,84.42,67,100,7.09,LK,1600439120
Half Moon Bay,37.46,-122.43,63.0,88,75,2.08,US,1600438994
Te Anau,-45.42,167.72,41.85,90,100,3.51,NZ,1600439121
Severo-Yeniseyskiy,60.37,93.04,47.37,85,100,5.82,RU,1600439121
Gemeente Wageningen,51.97,5.67,72.0,37,39,12.75,NL,1600439121
Vasai,19.47,72.8,82.4,83,75,3.36,IN,1600439121
Kluczbork,50.97,18.22,61.18,40,42,5.77,PL,1600439122
Shemysheyka,52.89,45.39,57.99,39,51,11.99,RU,1600439122
Grindavik,63.84,-22.43,48.2,76,90,20.8,IS,1600439122
Pachino,36.72,15.09,84.0,64,0,1.99,IT,1600439122
New Cumnock,55.4,-4.18,69.8,56,20,8.05,GB,1600439123
Sarāhan,31.52,77.8,60.85,71,1,0.2,IN,1600439123
Lavumisa,-27.31,31.89,86.0,45,2,12.75,SZ,1600439123
Byron Bay,-28.65,153.62,61.0,93,75,2.24,AU,1600438888
Kailua,21.4,-157.74,78.8,65,40,6.93,US,1600439123
Tazmalt,36.39,4.4,78.8,83,75,17.22,DZ,1600439123
Irbeyskoye,55.64,95.45,51.39,89,100,10.8,RU,1600439124
Oranjemund,-28.55,16.43,62.44,67,0,17.96,NA,1600439124
San Patricio,19.22,-104.7,80.6,74,40,3.33,MX,1600439124
Kashgar,39.45,75.98,73.4,23,40,4.47,CN,1600439125
Polyarnyye Zori,67.37,32.5,41.34,94,100,11.14,RU,1600439125
Dover,39.16,-75.52,66.2,93,90,13.87,US,1600439009
Biak,-0.91,122.88,78.42,78,99,2.95,ID,1600439125
Ostrovnoy,68.05,39.51,44.65,67,100,19.19,RU,1600439125
Dunedin,-45.87,170.5,48.0,72,100,5.99,NZ,1600439125
Santo Antônio do Içá,-3.1,-67.94,89.69,55,57,2.64,BR,1600439125
Kamaishi,39.27,141.88,70.38,79,100,4.0,JP,1600439126
Hervey Bay,-25.3,152.85,66.0,77,0,1.01,AU,1600439126
Vīsāvadar,21.38,70.68,80.15,83,100,6.62,IN,1600439126
Xai-Xai,-25.05,33.64,79.65,62,28,10.65,MZ,1600439127
Ust-Kuyga,70.02,135.6,49.08,68,99,8.61,RU,1600439127
Sioux Lookout,50.1,-91.92,42.8,75,20,8.05,CA,1600439127
Brae,60.4,-1.35,53.6,100,40,6.93,GB,1600439127
Sola,-13.88,167.55,79.83,84,100,17.78,VU,1600439128
Moussoro,13.64,16.49,101.89,17,0,5.57,TD,1600439128
Mazagão,-0.12,-51.29,91.4,66,40,8.05,BR,1600439128
Medford,42.33,-122.88,64.4,63,90,2.3,US,1600438933
Adrar,20.5,-10.07,101.07,17,0,4.29,MR,1600439128
Oussouye,12.48,-16.55,89.6,66,75,6.93,SN,1600439129
Starokostiantyniv,49.76,27.2,57.43,51,15,16.73,UA,1600439129
Teguise,29.06,-13.56,82.4,51,20,9.17,ES,1600439129
Katesh,-4.52,35.38,78.6,22,28,9.4,TZ,1600439130
Kolokani,13.57,-8.03,84.52,60,100,2.35,ML,1600439130
Cedrales,-25.65,-54.7,78.8,88,75,8.05,PY,1600439130
Fairbanks,64.84,-147.72,46.99,87,90,5.82,US,1600438956
Maswa,-2.68,33.98,93.43,12,80,10.89,TZ,1600439130
Moa,20.66,-74.94,85.48,67,26,4.74,CU,1600439130
Hofn,64.25,-15.21,53.6,71,20,12.75,IS,1600439130
Lakki,32.61,70.91,99.73,13,0,4.76,PK,1600439131
Vikhorevka,56.12,101.16,50.0,71,0,4.47,RU,1600439131
Balkanabat,39.51,54.37,80.33,16,0,17.22,TM,1600439131
Marsá Maţrūḩ,31.35,27.25,82.4,69,40,10.29,EG,1600439131
Westport,41.14,-73.36,66.2,63,40,16.11,US,1600439132
Tessalit,20.2,1.01,97.7,26,42,7.76,ML,1600439132
Jalingo,8.88,11.37,86.95,66,84,2.53,NG,1600439132
Cairns,-16.92,145.77,73.4,78,40,6.93,AU,1600439132
Kodīnar,20.79,70.7,81.7,81,71,8.5,IN,1600439132
Kalangala,-0.31,32.23,75.34,69,8,10.27,UG,1600439132
Khairpur Nathan Shah,27.09,67.73,98.02,18,0,4.52,PK,1600439133
Ambilobe,-13.2,49.05,81.84,50,69,5.7,MG,1600439133
Vao,-22.67,167.48,70.12,80,3,21.88,NC,1600439133
Tonbridge,51.19,0.28,66.0,65,0,7.0,GB,1600439133
Santa Cruz de la Sierra,-17.8,-63.17,78.8,54,75,6.93,BO,1600439133
Mae Tha,18.46,99.14,78.8,88,40,2.24,TH,1600439134
Chicama,-7.84,-79.15,68.2,65,68,6.38,PE,1600439134
Coos Bay,43.37,-124.22,60.8,100,90,9.17,US,1600439037
Callaway,30.15,-85.57,82.0,78,1,4.7,US,1600439134
Namatanai,-3.67,152.43,78.42,80,100,2.98,PG,1600439134
Conde,-7.26,-34.91,80.6,74,75,10.29,BR,1600438929
Aykhal,66.0,111.5,48.2,49,0,4.47,RU,1600439134
Kaeo,-35.1,173.78,48.0,3,14,1.99,NZ,1600439134
Yaan,7.38,8.57,85.73,67,74,5.06,NG,1600439135
Vallenar,-28.57,-70.76,72.93,33,0,5.64,CL,1600439135
Qasigiannguit,68.82,-51.19,32.0,88,75,2.24,GL,1600439135
Touros,-5.2,-35.46,84.2,62,75,13.87,BR,1600439136
Khandyga,62.67,135.6,41.85,67,0,3.31,RU,1600439136
Port Pirie,-33.18,138.02,66.2,77,100,9.17,AU,1600439136
Inuvik,68.35,-133.72,46.4,75,90,8.05,CA,1600439136
Askim,59.58,11.16,73.0,59,0,1.01,NO,1600439136
Yārāda,17.65,83.27,82.4,78,75,11.41,IN,1600439136
Mineral Wells,32.81,-98.11,72.0,83,75,5.82,US,1600438951
Alice Springs,-23.7,133.88,73.4,16,0,8.05,AU,1600439137
Russell,32.35,-85.2,73.4,83,75,5.82,US,1600439137
Sirte,31.21,16.59,81.73,50,0,11.92,LY,1600439137
Tutóia,-2.76,-42.27,86.25,56,0,13.29,BR,1600439137
Ankang,32.68,109.02,64.0,59,100,1.01,CN,1600439108
Chimoio,-19.12,33.48,82.4,42,0,9.17,MZ,1600439137
Ipixuna,-1.76,-48.8,87.8,62,40,6.93,BR,1600439138
Xam Nua,20.42,104.04,66.0,95,100,6.06,LA,1600439138
Simao,22.79,100.97,64.9,85,100,3.44,CN,1600439138
West Odessa,31.84,-102.5,64.4,72,1,5.82,US,1600439138
Verkhnevilyuysk,63.45,120.32,42.28,83,11,2.51,RU,1600439139
Vung Tau,10.35,107.08,80.69,84,100,21.56,VN,1600438922
Ola,59.58,151.28,44.33,61,0,5.99,RU,1600439139
Lewiston,44.1,-70.21,51.8,53,90,9.17,US,1600439139
Verāval,20.9,70.37,82.36,81,77,7.96,IN,1600439139
Kansk,56.2,95.72,53.24,90,100,10.67,RU,1600439139
Nakusp,50.25,-117.8,46.0,98,0,1.01,CA,1600439140
Soubre,5.79,-6.61,83.91,63,80,3.71,CI,1600439140
Trostberg,48.03,12.56,68.0,58,0,12.03,DE,1600439140
Oistins,13.07,-59.53,87.8,62,20,11.41,BB,1600439140
Chapecó,-27.1,-52.62,71.6,64,40,4.7,BR,1600439140
Krivosheino,57.34,83.93,47.82,92,98,10.29,RU,1600439141
Kousséri,12.08,15.03,93.2,56,40,9.17,CM,1600439141
Plettenberg Bay,-34.05,23.37,64.27,59,50,6.55,ZA,1600439141
Yangliuqing,39.14,117.0,66.2,48,0,2.24,CN,1600439141
Lhokseumawe,5.18,97.15,79.88,85,100,7.81,ID,1600439141
Thibodaux,29.8,-90.82,77.0,89,100,1.01,US,1600439073
Gobabis,-22.45,18.97,90.81,10,0,5.01,NA,1600439141
Kalispell,48.2,-114.31,46.0,93,90,1.97,US,1600438924
Truth or Consequences,33.13,-107.25,60.8,38,1,6.93,US,1600439142
Kindu,-2.95,25.95,80.22,87,100,1.52,CD,1600439142
Mahon,39.89,4.27,80.6,69,71,5.82,ES,1600439142
Filingué,14.35,3.32,94.44,38,18,1.92,NE,1600439142
Aitape,-3.14,142.35,77.95,85,100,3.44,PG,1600439143
Siavonga,-16.54,28.71,93.49,24,0,0.67,ZM,1600439143
Ontario,34.06,-117.65,77.0,28,75,0.29,US,1600439144
Derzhavīnsk,51.1,66.32,59.05,55,100,5.95,KZ,1600439144
Katobu,-4.94,122.53,76.12,87,2,6.24,ID,1600439144
Solnechnyy,50.72,136.63,46.4,90,100,9.53,RU,1600439144
Soure,-0.72,-48.52,84.47,71,84,12.44,BR,1600439083
Saint Anthony,45.02,-93.22,52.0,75,1,4.47,US,1600439145
Khrystynivka,48.82,29.97,57.29,45,29,16.6,UA,1600439145
Alanya,36.54,32.0,87.8,74,0,11.41,TR,1600439145
Yumen,40.28,97.2,62.65,26,0,14.03,CN,1600439145
Mongomo,1.63,11.31,76.95,73,100,2.77,GQ,1600439145
La Palma,33.85,-118.05,69.8,52,1,0.83,US,1600439145
Giruá,-28.03,-54.35,73.0,94,40,3.36,BR,1600439145
Kamina,-8.74,24.99,91.81,26,61,4.97,CD,1600439146
Normandin,48.83,-72.53,46.4,58,20,10.29,CA,1600439146
Winburg,-28.52,27.01,81.27,13,0,17.58,ZA,1600439146
Latung,5.5,120.88,83.88,78,16,16.62,PH,1600439146
Guánica,17.97,-66.91,88.0,56,0,1.99,PR,1600439146
Juneau,58.3,-134.42,53.01,87,90,3.36,US,1600439077
Verkhnyaya Inta,65.98,60.31,41.36,71,96,9.06,RU,1600439147
Madaoua,14.07,5.96,97.48,32,21,4.59,NE,1600439147
Carauari,-4.88,-66.9,92.57,45,42,3.15,BR,1600439099
Matata,-37.88,176.75,46.0,72,0,1.01,NZ,1600439147
Puerto Colombia,10.99,-74.95,84.2,83,40,6.93,CO,1600439021
Kaohsiung City,22.62,120.31,84.0,78,75,5.82,TW,1600438869
Faya,18.39,42.45,82.4,8,20,9.17,SA,1600439147
Mildura,-34.2,142.15,69.8,49,75,9.17,AU,1600439148
Monrovia,6.3,-10.8,78.8,88,75,4.7,LR,1600439148
Sechura,-5.56,-80.82,66.6,74,87,8.23,PE,1600439148
Mujiayingzi,42.12,118.78,53.76,51,0,8.28,CN,1600439148
Qiongshan,20.01,110.35,78.8,94,100,6.71,CN,1600439148
Quesnel,53.0,-122.5,50.0,100,90,1.9,CA,1600439010
Jinchang,38.5,102.17,67.37,26,0,5.57,CN,1600439148
Kolvereid,64.87,11.6,53.6,76,75,13.87,NO,1600439149
Dakar,14.69,-17.44,87.8,74,75,9.17,SN,1600439052
Kuito,-12.38,16.93,73.4,60,75,8.34,AO,1600439149
Wilkie,52.42,-108.7,46.99,76,83,5.99,CA,1600439149
Nayoro,44.35,142.46,58.57,90,6,7.16,JP,1600439149
Umba,66.69,34.34,42.6,91,100,21.32,RU,1600439149
Kirn,49.78,7.45,75.0,46,2,10.29,DE,1600439150
Ternate,0.8,127.4,80.62,77,55,5.1,ID,1600439150
Falam,22.92,93.68,63.21,100,95,0.81,MM,1600439150
Nicoya,10.15,-85.45,77.0,94,40,3.36,CR,1600439150
Toyooka,35.53,134.83,68.16,87,100,5.17,JP,1600439150
Port Hawkesbury,45.62,-61.35,57.0,76,90,8.05,CA,1600438894
Bar Harbor,44.39,-68.2,53.01,81,90,12.75,US,1600438988
Polokwane,-23.9,29.47,78.8,41,21,6.93,ZA,1600439151
High Level,58.52,-117.14,35.6,100,40,3.49,CA,1600439151
Bayjī,34.93,43.49,106.92,8,0,15.35,IQ,1600439151
Salina,38.84,-97.61,60.01,87,1,5.95,US,1600439151
Tautira,-17.73,-149.15,73.4,83,40,3.36,PF,1600439151
Bairiki Village,1.33,172.98,80.6,78,75,6.93,KI,1600439151
Champerico,14.3,-91.92,75.2,83,90,4.97,GT,1600439152
Manta,-0.95,-80.73,73.4,83,90,5.82,EC,1600439152
Beira,-19.84,34.84,80.01,74,20,11.41,MZ,1600439152
Victor Harbor,-35.57,138.62,63.0,80,95,11.39,AU,1600439152
Port Hedland,-20.32,118.57,71.6,83,0,3.36,AU,1600439152
Rūjiena,57.9,25.33,57.85,56,3,10.67,LV,1600439152
Boyolangu,-8.12,111.89,74.77,90,84,4.45,ID,1600439153
Kirakira,-10.45,161.92,78.94,83,100,7.72,SB,1600439153
Garden City,42.33,-83.33,55.4,58,20,11.41,US,1600439153
Taksimo,56.34,114.88,46.15,65,21,0.43,RU,1600439132
Campbellsville,37.34,-85.34,62.01,72,40,11.41,US,1600439153
Bozoum,6.32,16.38,77.77,85,73,5.44,CF,1600439154
Nizhyn,51.05,31.89,55.44,57,87,16.93,UA,1600439154
Berlevåg,70.86,29.09,42.8,87,75,6.93,NO,1600439154
Baruun-Urt,46.68,113.28,46.92,60,4,6.04,MN,1600439154
Hambantota,6.12,81.12,77.0,100,75,10.29,LK,1600439155
Dingzhou,38.51,115.0,60.8,82,0,2.24,CN,1600439155
Blackwater,-23.58,148.88,62.73,86,1,13.04,AU,1600439155
Anloga,5.79,0.9,82.4,74,20,11.41,GH,1600439155
Tezu,27.92,96.17,78.87,78,74,2.84,IN,1600439155
Florida,28.75,-82.5,84.0,78,90,4.7,US,1600438891
Gazli,40.13,63.45,63.21,26,0,7.94,UZ,1600439156
Antofagasta,-23.65,-70.4,59.0,67,75,5.82,CL,1600439156
